,,,,,,,,
,id,accountId,createdAt,updatedAt,expenses,grossProfit,grossRevenue,netProfit
,01J9WS55DN3C0SK0MZSAAW5W0T,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-11 03:15:02.712,2024-10-11 03:15:02.712,493731,940452,980952,155121
,01JA9N573JDNYVH1YACGGPGPW0,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-16 03:15:17.747,2024-10-16 03:15:17.747,493731,940452,980952,155121
,01JA9N57AB4AZXFDTF73X9YNK4,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-16 03:15:17.964,2024-10-16 03:15:17.964,493731,940452,980952,155121
,01JAHCB9F9HW4RPV56WAT3M41Y,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-19 03:15:15.055,2024-10-19 03:15:15.055,4539100,15542653,17103545,11003553
,01JAHCBAP0ERTFSRE9QZYXZFJ4,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-19 03:15:16.289,2024-10-19 03:15:16.289,4539100,15542653,17103545,11003553
,01JAHCBC3P0WA72KCHKVS7QWF5,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-19 03:15:17.752,2024-10-19 03:15:17.752,4539100,15542653,17103545,11003553
,01JAHCBDB5B70E727FZC3CGGHD,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-19 03:15:19.014,2024-10-19 03:15:19.014,4539100,15542653,17103545,11003553
,01JAKYQTAEQQ9CBYK0DFRCBVMX,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-20 03:15:08.751,2024-10-20 03:15:08.751,4539100,15542653,17103545,11003553
,01JAKYQVDXHMKTQ016Z160A2HF,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-20 03:15:09.887,2024-10-20 03:15:09.887,4539100,15542653,17103545,11003553
,01JAKYQWH0RDBQBZWJ4SH8YJ6R,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-20 03:15:11.01,2024-10-20 03:15:11.01,4539100,15542653,17103545,11003553
,01JAPH4DXMRWB47X417BYTZ59K,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-21 03:15:05.269,2024-10-21 03:15:05.269,4539100,15542653,17103545,11003553
,01JAPH4F3ZYFYE0ZV2KWM380TX,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-21 03:15:06.497,2024-10-21 03:15:06.497,4539100,15542653,17103545,11003553
,01JAPH4G8AF1EAPWQRWF4DD4GB,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-21 03:15:07.659,2024-10-21 03:15:07.659,4539100,15542653,17103545,11003553
,01JAS3HKJJ28G61CFMW2DPH2CB,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-22 03:15:20.275,2024-10-22 03:15:20.275,4539100,15542653,17103545,11003553
,01JAS3HMP3EVQ6HNR1T650V68R,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-22 03:15:21.412,2024-10-22 03:15:21.412,4539100,15542653,17103545,11003553
,01JAS3HNS8TAQ155ZPP7ASXSSZ,01J5ZX1CP0EM2Y7YD9E1XNBGZ4,2024-10-22 03:15:22.538,2024-10-22 03:15:22.538,4539100,15542653,17103545,11003553
,01JHHCY781S3XP6G84XQG1XDZD,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-14 03:15:28.13,2025-01-14 03:15:28.13,436178,-17399,74412,-453577
,01JHHCY9GH84SD9HBQY2XQEB7H,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-14 03:15:30.45,2025-01-14 03:15:30.45,436178,-17399,74412,-453577
,01JHHCYAKXGX4H3V28R9P10ZXN,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-14 03:15:31.582,2025-01-14 03:15:31.582,436178,-17399,74412,-453577
,01JHHCYBVDRXEMW5DY6BEE0P9Q,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-14 03:15:32.847,2025-01-14 03:15:32.847,436178,-17399,74412,-453577
,01JHHCYCYCXSFD4TPA0C6882FM,01JGCGXGGS9W8XGDQB0AXNN7HN,2025-01-14 03:15:33.965,2025-01-14 03:15:33.965,436178,-17399,74412,-453577
